#         t          x          y          z         vx         vy         vz
      4.900   -410.884     61.436   -179.096    -29.598     54.464     18.709
      4.910   -411.178     61.981   -178.908    -29.274     54.415     18.850
      4.920   -411.469     62.524   -178.719    -28.950     54.366     18.991
      4.930   -411.757     63.068   -178.529    -28.626     54.316     19.132
      4.940   -412.042     63.611   -178.337    -28.302     54.267     19.273
      4.950   -412.323     64.153   -178.143    -27.979     54.217     19.413
      4.960   -412.601     64.695   -177.948    -27.656     54.166     19.552
      4.970   -412.876     65.237   -177.752    -27.333     54.115     19.692
      4.980   -413.148     65.777   -177.554    -27.011     54.064     19.831
      4.990   -413.417     66.318   -177.355    -26.689     54.013     19.969
      5.000   -413.682     66.858   -177.155    -26.367     53.961     20.107
      5.010   -413.944     67.397   -176.953    -26.045     53.909     20.245
      5.020   -414.203     67.936   -176.750    -25.724     53.856     20.383
      5.030   -414.458     68.474   -176.546    -25.403     53.803     20.520
      5.040   -414.711     69.012   -176.340    -25.082     53.750     20.657
      5.050   -414.960     69.549   -176.133    -24.762     53.697     20.793
      5.060   -415.206     70.086   -175.924    -24.441     53.643     20.929
      5.070   -415.449     70.622   -175.714    -24.121     53.589     21.065
      5.080   -415.689     71.158   -175.503    -23.801     53.534     21.201
      5.090   -415.925     71.693   -175.290    -23.482     53.479     21.336
      5.100   -416.158     72.227   -175.076    -23.162     53.424     21.470
      5.110   -416.388     72.761   -174.861    -22.843     53.368     21.605
      5.120   -416.615     73.295   -174.644    -22.524     53.312     21.739
      5.130   -416.839     73.827   -174.426    -22.206     53.256     21.873
      5.140   -417.059     74.360   -174.206    -21.887     53.200     22.006
      5.150   -417.276     74.891   -173.986    -21.569     53.143     22.139
      5.160   -417.491     75.423   -173.764    -21.251     53.085     22.272
      5.170   -417.701     75.953   -173.540    -20.934     53.028     22.404
      5.180   -417.909     76.483   -173.316    -20.616     52.970     22.536
      5.190   -418.114     77.013   -173.089    -20.299     52.912     22.668
      5.200   -418.315     77.541   -172.862    -19.982     52.853     22.800
      5.210   -418.513     78.070   -172.633    -19.665     52.794     22.931
      5.220   -418.709     78.597   -172.404    -19.348     52.735     23.061
      5.230   -418.900     79.124   -172.172    -19.031     52.675     23.192
      5.240   -419.089     79.651   -171.940    -18.715     52.615     23.322
      5.250   -419.275     80.177   -171.706    -18.399     52.555     23.452
      5.260   -419.457     80.702   -171.471    -18.083     52.494     23.581
      5.270   -419.636     81.226   -171.234    -17.767     52.433     23.711
      5.280   -419.812     81.750   -170.996    -17.452     52.372     23.840
      5.290   -419.985     82.274   -170.757    -17.136     52.311     23.968
      5.300   -420.155     82.797   -170.517    -16.821     52.249     24.097
      5.310   -420.322     83.319   -170.275    -16.506     52.186     24.225
      5.320   -420.485     83.840   -170.033    -16.191     52.124     24.352
      5.330   -420.646     84.361   -169.788    -15.877     52.061     24.480
      5.340   -420.803     84.882   -169.543    -15.562     51.998     24.607
      5.350   -420.957     85.401   -169.296    -15.248     51.934     24.734
      5.360   -421.108     85.920   -169.048    -14.933     51.870     24.860
      5.370   -421.256     86.439   -168.799    -14.619     51.806     24.986
      5.380   -421.400     86.956   -168.549    -14.305     51.741     25.112
      5.390   -421.542     87.474   -168.297    -13.992     51.676     25.238
      5.400   -421.680     87.990   -168.044    -13.678     51.611     25.363
      5.410   -421.815     88.506   -167.790    -13.365     51.545     25.488
      5.420   -421.947     89.021   -167.534    -13.051     51.480     25.613
      5.430   -422.076     89.535   -167.277    -12.738     51.413     25.738
      5.440   -422.202     90.049   -167.019    -12.425     51.347     25.862
      5.450   -422.325     90.562   -166.760    -12.112     51.280     25.986
      5.460   -422.444     91.075   -166.500    -11.799     51.213     26.110
      5.470   -422.561     91.587   -166.238    -11.487     51.145     26.233
      5.480   -422.674     92.098   -165.975    -11.174     51.077     26.356
      5.490   -422.784     92.608   -165.711    -10.862     51.009     26.479
      5.500   -422.891     93.118   -165.445    -10.550     50.940     26.601
      5.510   -422.995     93.627   -165.179    -10.237     50.871     26.724
      5.520   -423.096     94.135   -164.911     -9.925     50.802     26.846
      5.530   -423.194     94.643   -164.642     -9.613     50.732     26.967
      5.540   -423.288     95.150   -164.372     -9.302     50.663     27.089
      5.550   -423.380     95.656   -164.100     -8.990     50.592     27.210
      5.560   -423.468     96.162   -163.827     -8.678     50.522     27.331
      5.570   -423.553     96.667   -163.553     -8.367     50.451     27.452
      5.580   -423.635     97.171   -163.278     -8.055     50.380     27.572
      5.590   -423.714     97.674   -163.002     -7.744     50.308     27.692
      5.600   -423.790     98.177   -162.724     -7.433     50.236     27.812
      5.610   -423.863     98.679   -162.446     -7.121     50.164     27.932
      5.620   -423.933     99.180   -162.166     -6.810     50.091     28.051
      5.630   -423.999     99.681   -161.885     -6.499     50.018     28.170
      5.640   -424.063    100.181   -161.602     -6.188     49.945     28.289
      5.650   -424.123    100.680   -161.319     -5.878     49.871     28.408
      5.660   -424.180    101.178   -161.034     -5.567     49.797     28.526
      5.670   -424.234    101.676   -160.748     -5.256     49.723     28.644
      5.680   -424.285    102.172   -160.461     -4.945     49.648     28.762
      5.690   -424.333    102.669   -160.173     -4.635     49.574     28.880
      5.700   -424.378    103.164   -159.884     -4.324     49.498     28.997
      5.710   -424.420    103.658   -159.593     -4.014     49.423     29.114
      5.720   -424.458    104.152   -159.302     -3.704     49.347     29.231
      5.730   -424.494    104.645   -159.009     -3.393     49.270     29.348
      5.740   -424.526    105.138   -158.715     -3.083     49.194     29.464
      5.750   -424.556    105.629   -158.419     -2.773     49.117     29.580
      5.760   -424.582    106.120   -158.123     -2.463     49.039     29.696
      5.770   -424.605    106.610   -157.825     -2.152     48.962     29.812
      5.780   -424.625    107.099   -157.527     -1.842     48.883     29.927
      5.790   -424.642    107.588   -157.227     -1.532     48.805     30.042
      5.800   -424.655    108.075   -156.926     -1.222     48.726     30.157
      5.810   -424.666    108.562   -156.624     -0.912     48.647     30.272
      5.820   -424.674    109.048   -156.320     -0.602     48.568     30.386
      5.830   -424.678    109.534   -156.016     -0.292     48.488     30.501
      5.840   -424.679    110.018   -155.710      0.018     48.408     30.615
      5.850   -424.678    110.502   -155.404      0.327     48.328     30.728
      5.860   -424.673    110.985   -155.096      0.637     48.247     30.842
      5.870   -424.665    111.467   -154.787      0.947     48.166     30.955
      5.880   -424.654    111.948   -154.477      1.257     48.084     31.068
      5.890   -424.640    112.428   -154.166      1.567     48.002     31.181
      5.900   -424.623    112.908   -153.853      1.877     47.920     31.294
      5.910   -424.602    113.387   -153.540      2.186     47.838     31.406
      5.920   -424.579    113.865   -153.225      2.496     47.755     31.518
      5.930   -424.552    114.342   -152.909      2.806     47.671     31.630
      5.940   -424.523    114.818   -152.592      3.116     47.588     31.742
      5.950   -424.490    115.294   -152.274      3.426     47.504     31.854
      5.960   -424.454    115.768   -151.955      3.736     47.419     31.965
      5.970   -424.415    116.242   -151.635      4.045     47.335     32.076
      5.980   -424.373    116.715   -151.314      4.355     47.250     32.187
      5.990   -424.328    117.187   -150.991      4.665     47.164     32.298
      6.000   -424.280    117.658   -150.668      4.975     47.079     32.408
      6.010   -424.229    118.129   -150.343      5.285     46.992     32.518
      6.020   -424.174    118.598   -150.018      5.595     46.906     32.628
      6.030   -424.117    119.067   -149.691      5.905     46.819     32.738
      6.040   -424.056    119.534   -149.363      6.215     46.732     32.848
      6.050   -423.993    120.001   -149.034      6.525     46.644     32.957
      6.060   -423.926    120.467   -148.704      6.835     46.556     33.066
      6.070   -423.856    120.932   -148.372      7.145     46.468     33.175
      6.080   -423.783    121.397   -148.040      7.455     46.379     33.284
      6.090   -423.707    121.860   -147.707      7.765     46.290     33.392
      6.100   -423.628    122.322   -147.372      8.076     46.201     33.500
      6.110   -423.545    122.784   -147.037      8.386     46.111     33.609
      6.120   -423.460    123.245   -146.700      8.696     46.021     33.716
      6.130   -423.371    123.704   -146.362      9.007     45.931     33.824
      6.140   -423.280    124.163   -146.024      9.317     45.840     33.932
      6.150   -423.185    124.621   -145.684      9.628     45.748     34.039
      6.160   -423.087    125.078   -145.343      9.938     45.657     34.146
      6.170   -422.986    125.534   -145.001     10.249     45.565     34.253
      6.180   -422.882    125.990   -144.658     10.559     45.472     34.360
      6.190   -422.775    126.444   -144.314     10.870     45.380     34.466
      6.200   -422.665    126.897   -143.968     11.181     45.286     34.572
      6.210   -422.551    127.350   -143.622     11.492     45.193     34.678
      6.220   -422.435    127.801   -143.275     11.803     45.099     34.784
      6.230   -422.315    128.252   -142.927     12.114     45.005     34.890
      6.240   -422.193    128.701   -142.577     12.425     44.910     34.995
      6.250   -422.067    129.150   -142.227     12.737     44.815     35.101
      6.260   -421.938    129.597   -141.875     13.048     44.719     35.206
      6.270   -421.806    130.044   -141.523     13.359     44.624     35.311
      6.280   -421.671    130.490   -141.169     13.671     44.527     35.415
      6.290   -421.532    130.935   -140.814     13.983     44.431     35.520
      6.300   -421.391    131.379   -140.459     14.294     44.334     35.624
      6.310   -421.247    131.821   -140.102     14.606     44.236     35.728
      6.320   -421.099    132.263   -139.744     14.918     44.139     35.832
      6.330   -420.948    132.704   -139.385     15.230     44.040     35.936
      6.340   -420.794    133.144   -139.025     15.542     43.942     36.039
      6.350   -420.637    133.583   -138.664     15.855     43.843     36.143
      6.360   -420.477    134.021   -138.302     16.167     43.743     36.246
      6.370   -420.314    134.458   -137.939     16.480     43.644     36.349
      6.380   -420.148    134.894   -137.575     16.792     43.543     36.451
      6.390   -419.978    135.329   -137.210     17.105     43.443     36.554
      6.400   -419.806    135.763   -136.844     17.418     43.342     36.656
      6.410   -419.630    136.196   -136.477     17.731     43.240     36.759
      6.420   -419.451    136.627   -136.109     18.044     43.138     36.861
      6.430   -419.269    137.058   -135.740     18.358     43.036     36.963
      6.440   -419.084    137.488   -135.370     18.671     42.934     37.064
      6.450   -418.896    137.917   -134.999     18.985     42.830     37.166
      6.460   -418.704    138.345   -134.627     19.299     42.727     37.267
      6.470   -418.510    138.771   -134.253     19.613     42.623     37.368
      6.480   -418.312    139.197   -133.879     19.927     42.519     37.469
      6.490   -418.111    139.622   -133.504     20.241     42.414     37.570
      6.500   -417.907    140.045   -133.128     20.555     42.309     37.670
      6.510   -417.700    140.468   -132.751     20.870     42.203     37.771
      6.520   -417.490    140.890   -132.372     21.185     42.097     37.871
      6.530   -417.276    141.310   -131.993     21.500     41.991     37.971
      6.540   -417.060    141.729   -131.613     21.815     41.884     38.071
      6.550   -416.840    142.148   -131.232     22.130     41.777     38.170
      6.560   -416.617    142.565   -130.850     22.445     41.669     38.270
      6.570   -416.391    142.981   -130.466     22.761     41.561     38.369
      6.580   -416.162    143.396   -130.082     23.077     41.452     38.468
      6.590   -415.929    143.810   -129.697     23.393     41.343     38.567
      6.600   -415.694    144.223   -129.311     23.709     41.233     38.666
      6.610   -415.455    144.635   -128.924     24.025     41.123     38.764
      6.620   -415.213    145.045   -128.536     24.342     41.013     38.863
      6.630   -414.968    145.455   -128.146     24.659     40.902     38.961
      6.640   -414.720    145.863   -127.756     24.975     40.791     39.059
      6.650   -414.469    146.271   -127.365     25.293     40.679     39.157
      6.660   -414.214    146.677   -126.973     25.610     40.567     39.254
      6.670   -413.957    147.082   -126.580     25.928     40.454     39.352
      6.680   -413.696    147.486   -126.186     26.245     40.341     39.449
      6.690   -413.432    147.889   -125.791     26.563     40.228     39.547
      6.700   -413.165    148.291   -125.395     26.882     40.114     39.643
      6.710   -412.894    148.691   -124.998     27.200     39.999     39.740
      6.720   -412.621    149.091   -124.600     27.519     39.884     39.837
      6.730   -412.344    149.489   -124.202     27.838     39.769     39.933
      6.740   -412.064    149.886   -123.802     28.157     39.653     40.030
      6.750   -411.781    150.282   -123.401     28.476     39.536     40.126
      6.760   -411.494    150.677   -122.999     28.796     39.420     40.222
      6.770   -411.205    151.070   -122.597     29.116     39.302     40.318
      6.780   -410.912    151.463   -122.193     29.436     39.185     40.413
      6.790   -410.616    151.854   -121.788     29.756     39.066     40.509
      6.800   -410.317    152.244   -121.383     30.077     38.947     40.604
      6.810   -410.015    152.633   -120.976     30.398     38.828     40.699
      6.820   -409.709    153.021   -120.569     30.719     38.708     40.794
      6.830   -409.400    153.407   -120.160     31.040     38.588     40.889
      6.840   -409.088    153.792   -119.751     31.362     38.468     40.983
      6.850   -408.773    154.177   -119.341     31.684     38.346     41.078
      6.860   -408.454    154.559   -118.929     32.006     38.225     41.172
      6.870   -408.133    154.941   -118.517     32.328     38.102     41.266
      6.880   -407.808    155.321   -118.104     32.651     37.980     41.360
      6.890   -407.480    155.701   -117.690     32.974     37.856     41.453
      6.900   -407.148    156.079   -117.275     33.298     37.733     41.547
      6.910   -406.814    156.455   -116.859     33.621     37.608     41.640
      6.920   -406.476    156.831   -116.442     33.945     37.484     41.734
      6.930   -406.135    157.205   -116.024     34.269     37.358     41.827
      6.940   -405.791    157.578   -115.606     34.594     37.233     41.919
      6.950   -405.443    157.950   -115.186     34.919     37.106     42.012
      6.960   -405.092    158.320   -114.766     35.244     36.979     42.105
      6.970   -404.738    158.689   -114.344     35.569     36.852     42.197
      6.980   -404.381    159.057   -113.922     35.895     36.724     42.289
      6.990   -404.020    159.424   -113.498     36.221     36.596     42.381
      7.000   -403.656    159.789   -113.074     36.547     36.467     42.473
      7.010   -403.289    160.153   -112.649     36.874     36.337     42.565
      7.020   -402.919    160.516   -112.223     37.201     36.207     42.656
      7.030   -402.545    160.877   -111.796     37.528     36.076     42.748
      7.040   -402.168    161.237   -111.368     37.856     35.945     42.839
      7.050   -401.788    161.596   -110.939     38.184     35.813     42.930
      7.060   -401.405    161.953   -110.509     38.512     35.681     43.021
      7.070   -401.018    162.310   -110.078     38.841     35.548     43.111
      7.080   -400.628    162.664   -109.647     39.170     35.415     43.202
      7.090   -400.234    163.018   -109.214     39.500     35.281     43.292
      7.100   -399.838    163.370   -108.781     39.829     35.146     43.382
      7.110   -399.438    163.721   -108.347     40.160     35.011     43.472
      7.120   -399.035    164.070   -107.912     40.490     34.876     43.562
      7.130   -398.628    164.418   -107.476     40.821     34.739     43.652
      7.140   -398.218    164.765   -107.039     41.152     34.603     43.741
      7.150   -397.805    165.110   -106.601     41.484     34.465     43.831
      7.160   -397.389    165.454   -106.162     41.816     34.327     43.920
      7.170   -396.969    165.797   -105.722     42.148     34.189     44.009
      7.180   -396.546    166.138   -105.282     42.481     34.049     44.097
      7.190   -396.119    166.478   -104.840     42.814     33.910     44.186
      7.200   -395.689    166.816   -104.398     43.148     33.769     44.274
      7.210   -395.256    167.153   -103.955     43.482     33.628     44.363
      7.220   -394.820    167.489   -103.511     43.816     33.487     44.451
      7.230   -394.380    167.823   -103.066     44.151     33.344     44.539
      7.240   -393.937    168.156   -102.620     44.486     33.201     44.627
      7.250   -393.490    168.487   -102.173     44.821     33.058     44.714
      7.260   -393.040    168.817   -101.726     45.157     32.914     44.802
      7.270   -392.587    169.145   -101.277     45.494     32.769     44.889
      7.280   -392.130    169.472   -100.828     45.831     32.624     44.976
      7.290   -391.670    169.798   -100.378     46.168     32.478     45.063
      7.300   -391.207    170.122    -99.927     46.506     32.331     45.150
      7.310   -390.740    170.444    -99.475     46.844     32.184     45.236
      7.320   -390.270    170.766    -99.022     47.182     32.036     45.322
      7.330   -389.797    171.085    -98.568     47.521     31.887     45.409
      7.340   -389.320    171.403    -98.114     47.861     31.738     45.495
      7.350   -388.839    171.720    -97.658     48.201     31.588     45.581
      7.360   -388.356    172.035    -97.202     48.541     31.438     45.666
      7.370   -387.869    172.349    -96.745     48.882     31.287     45.752
      7.380   -387.378    172.661    -96.287     49.223     31.135     45.837
      7.390   -386.884    172.971    -95.828     49.565     30.982     45.922
      7.400   -386.387    173.280    -95.369     49.908     30.829     46.007
      7.410   -385.886    173.588    -94.908     50.250     30.675     46.092
      7.420   -385.382    173.894    -94.447     50.594     30.520     46.176
      7.430   -384.874    174.198    -93.985     50.937     30.365     46.261
      7.440   -384.363    174.501    -93.522     51.282     30.209     46.345
      7.450   -383.848    174.802    -93.058     51.626     30.052     46.429
      7.460   -383.330    175.102    -92.593     51.972     29.895     46.513
      7.470   -382.809    175.400    -92.128     52.317     29.736     46.597
      7.480   -382.284    175.697    -91.661     52.664     29.577     46.680
      7.490   -381.756    175.992    -91.194     53.010     29.418     46.764
      7.500   -381.224    176.285    -90.726     53.358     29.257     46.847
      7.510   -380.689    176.577    -90.257     53.706     29.096     46.930
      7.520   -380.150    176.867    -89.787     54.054     28.934     47.013
      7.530   -379.607    177.156    -89.317     54.403     28.772     47.095
      7.540   -379.062    177.443    -88.845     54.752     28.609     47.178
      7.550   -378.512    177.728    -88.373     55.102     28.444     47.260
      7.560   -377.960    178.012    -87.900     55.453     28.280     47.342
      7.570   -377.403    178.294    -87.426     55.804     28.114     47.424
      7.580   -376.844    178.574    -86.952     56.156     27.948     47.505
      7.590   -376.280    178.852    -86.476     56.508     27.780     47.587
      7.600   -375.713    179.129    -86.000     56.861     27.612     47.668
      7.610   -375.143    179.405    -85.523     57.214     27.444     47.749
      7.620   -374.569    179.678    -85.045     57.568     27.274     47.830
      7.630   -373.992    179.950    -84.566     57.923     27.104     47.911
      7.640   -373.411    180.220    -84.087     58.278     26.933     47.991
      7.650   -372.826    180.489    -83.607     58.634     26.761     48.071
      7.660   -372.238    180.756    -83.125     58.990     26.588     48.152
      7.670   -371.646    181.021    -82.643     59.347     26.414     48.231
      7.680   -371.051    181.284    -82.161     59.705     26.240     48.311
      7.690   -370.452    181.545    -81.677     60.063     26.065     48.391
      7.700   -369.850    181.805    -81.193     60.422     25.889     48.470
      7.710   -369.244    182.063    -80.708     60.781     25.712     48.549
      7.720   -368.634    182.319    -80.222     61.141     25.534     48.628
      7.730   -368.021    182.574    -79.735     61.502     25.355     48.707
      7.740   -367.404    182.826    -79.248     61.863     25.176     48.785
      7.750   -366.784    183.077    -78.760     62.225     24.995     48.863
      7.760   -366.160    183.326    -78.271     62.588     24.814     48.941
      7.770   -365.532    183.574    -77.781     62.951     24.632     49.019
      7.780   -364.901    183.819    -77.290     63.315     24.449     49.097
      7.790   -364.266    184.063    -76.799     63.680     24.265     49.174
      7.800   -363.627    184.304    -76.307     64.045     24.080     49.252
      7.810   -362.985    184.544    -75.814     64.411     23.894     49.329
      7.820   -362.339    184.782    -75.320     64.778     23.707     49.405
      7.830   -361.689    185.018    -74.826     65.145     23.519     49.482
      7.840   -361.036    185.253    -74.330     65.514     23.331     49.558
      7.850   -360.379    185.485    -73.835     65.882     23.141     49.635
      7.860   -359.718    185.715    -73.338     66.252     22.951     49.710
      7.870   -359.054    185.944    -72.840     66.622     22.759     49.786
      7.880   -358.386    186.171    -72.342     66.993     22.567     49.862
      7.890   -357.714    186.395    -71.843     67.365     22.374     49.937
      7.900   -357.038    186.618    -71.343     67.737     22.179     50.012
      7.910   -356.359    186.839    -70.843     68.111     21.984     50.087
      7.920   -355.676    187.058    -70.342     68.485     21.787     50.161
      7.930   -354.989    187.275    -69.840     68.859     21.590     50.235
      7.940   -354.299    187.489    -69.337     69.235     21.392     50.310
      7.950   -353.605    187.702    -68.833     69.611     21.192     50.383
      7.960   -352.907    187.913    -68.329     69.988     20.992     50.457
      7.970   -352.205    188.122    -67.824     70.366     20.790     50.530
      7.980   -351.499    188.329    -67.319     70.745     20.588     50.603
      7.990   -350.790    188.534    -66.812     71.124     20.384     50.676
      8.000   -350.077    188.737    -66.305     71.504     20.179     50.749
      8.010   -349.360    188.938    -65.797     71.885     19.974     50.821
      8.020   -348.639    189.136    -65.289     72.267     19.767     50.893
      8.030   -347.915    189.333    -64.779     72.650     19.559     50.965
      8.040   -347.186    189.527    -64.269     73.033     19.350     51.037
      8.050   -346.454    189.720    -63.759     73.418     19.140     51.108
      8.060   -345.718    189.910    -63.247     73.803     18.929     51.179
      8.070   -344.978    190.098    -62.735     74.189     18.716     51.250
      8.080   -344.234    190.285    -62.222     74.576     18.503     51.321
      8.090   -343.486    190.468    -61.709     74.963     18.288     51.391
      8.100   -342.735    190.650    -61.194     75.352     18.072     51.461
      8.110   -341.979    190.830    -60.679     75.742     17.855     51.531
      8.120   -341.220    191.007    -60.164     76.132     17.637     51.600
      8.130   -340.457    191.183    -59.647     76.523     17.417     51.670
      8.140   -339.690    191.356    -59.130     76.916     17.197     51.739
      8.150   -338.918    191.527    -58.613     77.309     16.975     51.807
      8.160   -338.143    191.695    -58.094     77.703     16.752     51.876
      8.170   -337.364    191.862    -57.575     78.098     16.528     51.944
      8.180   -336.581    192.026    -57.055     78.494     16.302     52.011
      8.190   -335.794    192.188    -56.535     78.891     16.075     52.079
      8.200   -335.004    192.347    -56.014     79.288     15.847     52.146
      8.210   -334.209    192.505    -55.492     79.687     15.618     52.213
      8.220   -333.410    192.660    -54.970     80.087     15.387     52.280
      8.230   -332.607    192.812    -54.446     80.488     15.155     52.346
      8.240   -331.800    192.963    -53.923     80.889     14.922     52.412
      8.250   -330.989    193.111    -53.398     81.292     14.688     52.478
      8.260   -330.174    193.256    -52.873     81.696     14.452     52.543
      8.270   -329.355    193.400    -52.347     82.100     14.214     52.608
      8.280   -328.532    193.541    -51.821     82.506     13.976     52.673
      8.290   -327.705    193.679    -51.294     82.913     13.736     52.737
      8.300   -326.874    193.815    -50.766     83.321     13.494     52.801
      8.310   -326.039    193.949    -50.238     83.730     13.252     52.865
      8.320   -325.199    194.080    -49.709     84.139     13.007     52.928
      8.330   -324.356    194.209    -49.179     84.550     12.762     52.991
      8.340   -323.508    194.336    -48.649     84.962     12.515     53.054
      8.350   -322.657    194.460    -48.118     85.375     12.266     53.116
      8.360   -321.801    194.581    -47.587     85.790     12.016     53.178
      8.370   -320.941    194.700    -47.055     86.205     11.765     53.240
      8.380   -320.077    194.816    -46.522     86.621     11.512     53.301
      8.390   -319.208    194.930    -45.989     87.039     11.257     53.362
      8.400   -318.336    195.041    -45.455     87.457     11.001     53.423
      8.410   -317.459    195.150    -44.920     87.877     10.743     53.483
      8.420   -316.578    195.256    -44.385     88.298     10.484     53.543
      8.430   -315.693    195.360    -43.849     88.720     10.223     53.602
      8.440   -314.804    195.461    -43.313     89.143      9.961     53.661
      8.450   -313.910    195.559    -42.776     89.568      9.697     53.720
      8.460   -313.013    195.655    -42.239     89.993      9.431     53.778
      8.470   -312.111    195.748    -41.701     90.420      9.164     53.836
      8.480   -311.204    195.838    -41.162     90.848      8.895     53.893
      8.490   -310.294    195.926    -40.623     91.278      8.625     53.950
      8.500   -309.379    196.010    -40.083     91.708      8.353     54.007
      8.510   -308.459    196.093    -39.543     92.140      8.079     54.063
      8.520   -307.536    196.172    -39.002     92.573      7.803     54.119
      8.530   -306.608    196.249    -38.460     93.007      7.525     54.174
      8.540   -305.676    196.323    -37.918     93.442      7.246     54.229
      8.550   -304.739    196.394    -37.376     93.879      6.965     54.283
      8.560   -303.798    196.462    -36.832     94.317      6.683     54.337
      8.570   -302.853    196.527    -36.289     94.756      6.398     54.391
      8.580   -301.903    196.590    -35.745     95.197      6.111     54.444
      8.590   -300.949    196.649    -35.200     95.639      5.823     54.496
      8.600   -299.990    196.706    -34.655     96.082      5.533     54.549
      8.610   -299.027    196.760    -34.109     96.527      5.241     54.600
      8.620   -298.060    196.811    -33.563     96.973      4.947     54.651
      8.630   -297.088    196.859    -33.016     97.420      4.651     54.702
      8.640   -296.111    196.904    -32.469     97.869      4.353     54.752
      8.650   -295.130    196.946    -31.921     98.319      4.053     54.802
      8.660   -294.145    196.985    -31.373     98.771      3.751     54.851
      8.670   -293.155    197.021    -30.824     99.224      3.447     54.899
      8.680   -292.160    197.054    -30.275     99.678      3.141     54.947
      8.690   -291.161    197.084    -29.725    100.134      2.833     54.995
      8.700   -290.158    197.111    -29.175    100.592      2.523     55.042
      8.710   -289.149    197.134    -28.624    101.050      2.211     55.088
      8.720   -288.137    197.155    -28.073    101.511      1.897     55.134
      8.730   -287.119    197.172    -27.521    101.973      1.580     55.179
      8.740   -286.097    197.187    -26.969    102.436      1.261     55.224
      8.750   -285.071    197.198    -26.417    102.901      0.940     55.268
      8.760   -284.039    197.205    -25.864    103.367      0.617     55.312
      8.770   -283.003    197.210    -25.311    103.835      0.292     55.354
      8.780   -281.962    197.211    -24.757    104.304     -0.036     55.397
      8.790   -280.917    197.209    -24.203    104.775     -0.366     55.438
      8.800   -279.867    197.204    -23.648    105.248     -0.699     55.479
      8.810   -278.812    197.195    -23.093    105.722     -1.033     55.520
      8.820   -277.753    197.183    -22.538    106.198     -1.371     55.559
      8.830   -276.688    197.168    -21.982    106.676     -1.710     55.598
      8.840   -275.619    197.149    -21.426    107.155     -2.052     55.637
      8.850   -274.545    197.127    -20.869    107.636     -2.397     55.674
      8.860   -273.466    197.101    -20.312    108.118     -2.744     55.711
      8.870   -272.383    197.072    -19.755    108.602     -3.094     55.748
      8.880   -271.294    197.039    -19.197    109.088     -3.446     55.783
      8.890   -270.201    197.003    -18.639    109.576     -3.801     55.818
      8.900   -269.103    196.963    -18.081    110.065     -4.158     55.852
      8.910   -268.000    196.920    -17.522    110.556     -4.518     55.885
      8.920   -266.892    196.873    -16.963    111.049     -4.881     55.918
      8.930   -265.779    196.822    -16.404    111.544     -5.247     55.949
      8.940   -264.661    196.768    -15.844    112.040     -5.615     55.980
      8.950   -263.538    196.710    -15.284    112.539     -5.986     56.010
      8.960   -262.410    196.648    -14.724    113.039     -6.360     56.040
      8.970   -261.277    196.582    -14.164    113.541     -6.737     56.068
      8.980   -260.139    196.513    -13.603    114.045     -7.117     56.096
      8.990   -258.996    196.440    -13.042    114.550     -7.500     56.123
      9.000   -257.848    196.363    -12.480    115.058     -7.886     56.148
      9.010   -256.695    196.282    -11.919    115.567     -8.274     56.173
      9.020   -255.537    196.198    -11.357    116.079     -8.666     56.197
      9.030   -254.373    196.109    -10.795    116.592     -9.061     56.221
      9.040   -253.205    196.016    -10.233    117.108     -9.459     56.243
      9.050   -252.031    195.920     -9.670    117.625     -9.861     56.264
      9.060   -250.852    195.819     -9.107    118.144    -10.265     56.284
      9.070   -249.668    195.715     -8.544    118.666    -10.673     56.303
      9.080   -248.479    195.606     -7.981    119.189    -11.084     56.322
      9.090   -247.284    195.493     -7.418    119.715    -11.499     56.339
      9.100   -246.085    195.376     -6.854    120.242    -11.917     56.355
      9.110   -244.880    195.254     -6.291    120.772    -12.338     56.370
      9.120   -243.669    195.129     -5.727    121.304    -12.763     56.384
      9.130   -242.454    194.999     -5.163    121.837    -13.192     56.397
      9.140   -241.232    194.865     -4.599    122.373    -13.624     56.408
      9.150   -240.006    194.727     -4.035    122.912    -14.059     56.419
      9.160   -238.774    194.584     -3.471    123.452    -14.499     56.428
      9.170   -237.537    194.437     -2.906    123.995    -14.942     56.436
      9.180   -236.294    194.285     -2.342    124.539    -15.389     56.443
      9.190   -235.046    194.129     -1.778    125.087    -15.840     56.449
      9.200   -233.793    193.968     -1.213    125.636    -16.295     56.453
      9.210   -232.533    193.803     -0.648    126.188    -16.753     56.456
      9.220   -231.269    193.633     -0.084    126.741    -17.216     56.457
      9.230   -229.999    193.459      0.481    127.298    -17.683     56.457
      9.240   -228.723    193.279      1.045    127.856    -18.154     56.454
      9.250   -227.441    193.096      1.610    128.417    -18.629     56.450
      9.260   -226.155    192.907      2.174    128.981    -19.108     56.444
      9.270   -224.862    192.713      2.739    129.546    -19.592     56.437
      9.280   -223.564    192.515      3.303    130.115    -20.080     56.429
      9.290   -222.260    192.312      3.867    130.685    -20.573     56.419
      9.300   -220.950    192.104      4.431    131.258    -21.070     56.407
      9.310   -219.634    191.890      4.995    131.834    -21.571     56.393
      9.320   -218.313    191.672      5.559    132.412    -22.078     56.378
      9.330   -216.986    191.449      6.123    132.992    -22.589     56.362
      9.340   -215.653    191.220      6.686    133.576    -23.104     56.343
      9.350   -214.315    190.987      7.250    134.161    -23.625     56.323
